State,District,Solar Irradiance,Cultivated land (%),Cropping Intensity(%),Irrigation Intensity (%),IWU (% of CWU),Cultivated land (%),Cropping Intensity(%),Irrigation Intensity (%),IWU (% of CWU),Text-Crop,GW share irr (% of IWU),GW_dev_stage (%),Aquifer type,Number of SW bodies,Surface water area (km2),Surface water area (km2)-%,GW share irr (% of IWU),GW_dev_stage (%),Surface water area (km2),Text-Water,Number of pumps,Elect(%),Diesel (%),GW_abstracted (MCM),Electricity Tariff,GWL (m),Elect(%),emission factor,Emission (kgCO2),Text-Energy,Small& Marginal % Holdings,Avg Area per holding (ALLGrps),Avg. No. of Parcel per holdings (Allgrps),Small& Marginal % Holdings,Avg Area_class,parcel_class,Text-Farmer,DISCOM Name,DISCOM Name-shrt,DISCOM Rating,Feeder segregation,Feeder segregation,Electricity Tariff,Electricity Subsidy,Text-Utilty,Community-SIP,Community-SIP-text,SW-SIP,SW-SIP-BI,Pump,DISCOM-R,Feeder segregation,Text-Model,Text-Model-n,Model-short
karnataka,Haveri,5.39,77.60,115.80,28.00,62.22,Very High,Low,Moderate,High,"District has Very High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with High irrigation water requirements.",57.16,60.99,HR,1449.00,19.52,0.39,High,Moderate,4,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Moderate. There are 1449 surface water bodies, covering 0.4% of district area.",100.00,100.00,0,89.7117,0.00,10.70,1,0.278,0.00,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 89 MCM of groundwater.",76.04,1.59,1.46,High,3.00,Moderate,Small and Marginal farmers hold 76 % of holdings. The average area per holding is 1.59 ha with Moderate fragmentation of land.,Hubli Electricity Supply Company Limited (HESCOM),,C,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Hubli Electricity Supply Company Limited (HESCOM) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,,,,,Electric,,Yes,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM.","Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM.",PM-KUSUM model C (IPS and FLS) + DISCOM
jharkhand,Hazaribagh,5.05,9.31,120.20,24.60,47.09,Low,Low,Low,Moderate,"District has Low proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.",71.26,36.81,HR,4725.00,1457.80,30.27,High,Low,4,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 4725 surface water bodies, covering 30.3% of district area.",100.00,3.00,93,116.452,95.00,8.58,4,0.076416,0.00,"District has 100 pumps, with 3 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 116 MCM of groundwater.",91.78,0.76,1.00,Very High,4.00,Low,Small and Marginal farmers hold 91 % of holdings. The average area per holding is 0.76 ha with Low fragmentation of land.,Jharkhand Bijli Vitran Nigam Limited (JBVNL),,C-,No,,95.00,High,Jharkhand Bijli Vitran Nigam Limited (JBVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Diesel,,No,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
maharashtra,Hingoli,5.30,78.85,131.50,40.70,64.78,Very High,Low,Moderate,High,"District has Very High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with High irrigation water requirements.",91.22,36.41,HR,1657.00,74.90,1.56,Very High,Low,4,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Low. There are 1657 surface water bodies, covering 1.6% of district area.",100.00,74.00,26,384.4877,155.00,10.64,2,0.224752,0.01,"District has 100 pumps, with 74 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 384 MCM of groundwater.",76.43,1.53,1.51,High,3.00,Moderate,Small and Marginal farmers hold 76 % of holdings. The average area per holding is 1.53 ha with Moderate fragmentation of land.,Maharashtra State Electricity Distribution Company Limited (MSEDCL),,C,Yes,More than 70 % of feeder is segregated.,155.00,Moderate,Maharashtra State Electricity Distribution Company Limited (MSEDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,,, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,,Yes,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation.","Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources. ",PM-KUSUM (IPS) + DISCOM
haryana,Hisar,4.87,82.89,193.00,90.40,81.85,Very High,High,Very High,Very High,"District has Very High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.",30.53,88.17,SR,1086.00,0.00,0.00,Moderate,Semi-critical,1,"Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Semi-critical. There are 1086 surface water bodies, covering 0% of district area.",100.00,62.00,38,488.3325,10.00,9.07,2,0.200176,0.01,"District has 100 pumps, with 62 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 488 MCM of groundwater.",60.48,2.58,1.00,High,2.00,Low,Small and Marginal farmers hold 60 % of holdings. The average area per holding is 2.58 ha with Low fragmentation of land.,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL),,A,Yes,More than 70 % of feeder is segregated.,10.00,Very High,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A. More than 70 % of feeder is segregated.,,,,,mix,High,Yes,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.,PM-KUSUM model B and C (IPS and FLS) 
madhya pradesh,Hoshangabad,5.25,49.16,215.60,72.50,76.35,Moderate,High,High,Very High,"District has Moderate proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is High with Very High irrigation water requirements.",46.42,25.86,SR,1008.00,12.76,0.19,Moderate,Low,3,"Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Low. There are 1008 surface water bodies, covering 0.2% of district area.",100.00,97.00,3,423.3523,135.00,8.07,1,0.271856,0.01,"District has 100 pumps, with 97 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 423 MCM of groundwater.",69.19,1.88,1.77,High,3.00,Moderate,Small and Marginal farmers hold 69 % of holdings. The average area per holding is 1.88 ha with Moderate fragmentation of land.,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),,B,Yes,More than 70 % of feeder is segregated.,135.00,High,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,,,,,Electric,High,Yes,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.,PM-KUSUM model C (IPS and FLS) 
punjab,Hoshiarpur,4.68,59.80,165.40,93.70,56.70,High,Moderate,Very High,High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with High irrigation water requirements.",95.49,117.58,SR,1265.00,6.31,0.18,Very High,Over-exploited,2,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 1265 surface water bodies, covering 0.2% of district area.",100.00,99.00,1,1747.0031,0.00,13.60,1,0.275952,0.06,"District has 100 pumps, with 99 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 1747 MCM of groundwater.",0.00,2.79,1.23,Low,2.00,Low,Small and Marginal farmers hold 0 % of holdings. The average area per holding is 2.79099731509397 ha with Low fragmentation of land.,Punjab State Power Corporation Limited (PSPCL),,B,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Punjab State Power Corporation Limited (PSPCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,,, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,High,Yes,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources. ,PM-KUSUM model C (IPS)
west bengal,Hugli,4.77,67.30,225.80,24.70,43.41,High,Very High,Low,Moderate,"District has High proportion of area under cultivation, supporting Very High cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.",61.15,53.74,HR,26894.00,93.79,2.98,High,Moderate,4,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Moderate. There are 26894 surface water bodies, covering 3% of district area.",100.00,85.00,15,59.1272,460.00,11.32,1,0.24728,0.00,"District has 100 pumps, with 85 % of pumps being electric. The electric tariff subsidy is Low. These pumps abstract 59 MCM of groundwater.",98.15,0.61,4.38,Very High,4.00,Very High,Small and Marginal farmers hold 98 % of holdings. The average area per holding is 0.61 ha with Very High fragmentation of land.,#N/A,,#N/A,No data,,460.00,Low,No data on DISCOM,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,,No data,No data on DISCOM feeder segregation,No data on DISCOM feeder segregation Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,No Data
telangana,Hyderabad,5.35,0.00,0.00,0.00,,Low,Low,Low,Low,"District has Low proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Low irrigation water requirements.",93.42,93.62,HR,94.00,0.37,0.21,Very High,Semi-critical,1,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Semi-critical. There are 94 surface water bodies, covering 0.2% of district area.",100.00,0.00,0,349.6512,0.00,8.80,4,0,0.00,"District has 100 pumps, with 0 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 349 MCM of groundwater.",0.00,0.00,0.00,Low,4.00,Low,Small and Marginal farmers hold 0 % of holdings. The average area per holding is 0 ha with Low fragmentation of land.,Southern Power Distribution Company of Telangana Limited (TSSPDCL),,C,No,,0.00,Very High,Southern Power Distribution Company of Telangana Limited (TSSPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Diesel,,No,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
kerala,Idukki,4.83,46.90,129.50,17.80,47.51,Moderate,Low,Low,Moderate,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.",40.39,54.21,HR,3792.00,94.48,1.84,Moderate,Moderate,4,"Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Moderate. There are 3792 surface water bodies, covering 1.8% of district area.",100.00,99.00,1,102.2139,195.00,5.24,1,0.275952,0.00,"District has 100 pumps, with 99 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 102 MCM of groundwater.",97.44,0.40,1.13,Very High,4.00,Low,Small and Marginal farmers hold 97 % of holdings. The average area per holding is 0.4 ha with Low fragmentation of land.,Kerala State Electricity Board Limited (KSEBL) ,,B-,No,,195.00,Moderate,Kerala State Electricity Board Limited (KSEBL)  is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,,No,"Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations. ","Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM B + DISCOM
manipur,Imphal East,4.63,100.00,131.80,8.50,39.05,Very High,Low,Low,Moderate,"District has Very High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.",0.06,8.07,HR,247.00,0.79,0.13,Low,Low,1,"Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 247 surface water bodies, covering 0.1% of district area.",100.00,0.00,0,4.6111,515.00,3.30,4,0,0.00,"District has 100 pumps, with 0 % of pumps being electric. The electric tariff subsidy is Low. These pumps abstract 4 MCM of groundwater.",90.12,1.00,1.03,Very High,4.00,Low,Small and Marginal farmers hold 90 % of holdings. The average area per holding is 1 ha with Low fragmentation of land.,Manipur State Power Distribution Company Limited (MSPDCL),,C,Yes,More than 70 % of feeder is segregated.,515.00,Low,Manipur State Power Distribution Company Limited (MSPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Diesel,,Yes,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
manipur,Imphal West,4.55,100.00,153.40,14.40,34.83,Very High,Moderate,Low,Moderate,"District has Very High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.",0.04,11.05,HR,345.00,0.95,0.19,Low,Low,1,"Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 345 surface water bodies, covering 0.2% of district area.",100.00,0.00,0,10.8532,515.00,2.85,4,0,0.00,"District has 100 pumps, with 0 % of pumps being electric. The electric tariff subsidy is Low. These pumps abstract 10 MCM of groundwater.",86.51,0.90,1.12,Very High,4.00,Low,Small and Marginal farmers hold 86 % of holdings. The average area per holding is 0.9 ha with Low fragmentation of land.,Manipur State Power Distribution Company Limited (MSPDCL),,C,Yes,More than 70 % of feeder is segregated.,515.00,Low,Manipur State Power Distribution Company Limited (MSPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Diesel,,Yes,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
madhya pradesh,Indore,5.27,65.56,196.80,45.70,70.31,High,High,Moderate,Very High,"District has High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.",85.53,119.38,HR,636.00,14.40,0.36,Very High,Over-exploited,3,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 636 surface water bodies, covering 0.4% of district area.",100.00,98.00,2,637.9293,135.00,16.80,1,0.273904,0.03,"District has 100 pumps, with 98 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 637 MCM of groundwater.",71.89,1.56,2.97,High,3.00,High,Small and Marginal farmers hold 71 % of holdings. The average area per holding is 1.56 ha with High fragmentation of land.,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),,A,Yes,More than 70 % of feeder is segregated.,135.00,High,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,High,Yes,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM model C (IPS)
madhya pradesh,Jabalpur,5.24,53.75,172.80,61.00,74.07,High,Moderate,High,Very High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is High with Very High irrigation water requirements.",66.54,51.31,HR,313.00,3.83,0.09,High,Moderate,2,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Moderate. There are 313 surface water bodies, covering 0.1% of district area.",100.00,97.00,3,314.4917,135.00,11.50,1,0.271856,0.01,"District has 100 pumps, with 97 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 314 MCM of groundwater.",80.29,1.33,2.51,Very High,3.00,High,Small and Marginal farmers hold 80 % of holdings. The average area per holding is 1.33 ha with High fragmentation of land.,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),,B-,Yes,More than 70 % of feeder is segregated.,135.00,High,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,,Yes,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM.","Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM model C (IPS and FLS) + DISCOM
odisha,Jagatsinghapur,4.33,51.56,161.80,41.10,36.76,High,Moderate,Moderate,Moderate,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Moderate with Moderate irrigation water requirements.",6.30,57.48,HR,3693.00,6.63,0.40,Low,Moderate,2,"Groundwater contribution to irrigation is Low with current groundwater development stage classified as Moderate. There are 3693 surface water bodies, covering 0.4% of district area.",100.00,87.00,13,71.7022,150.00,2.50,1,0.251376,0.00,"District has 100 pumps, with 87 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 71 MCM of groundwater.",97.32,0.65,2.24,Very High,4.00,High,Small and Marginal farmers hold 97 % of holdings. The average area per holding is 0.65 ha with High fragmentation of land.,TP Central Odisha Distribution Limited (TPCODL),,A+,No data,,150.00,High,TP Central Odisha Distribution Limited (TPCODL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,High,No data,No data on DISCOM feeder segregation,No data on DISCOM feeder segregation Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,No Data
meghalaya,Jaintia Hills,4.23,3.19,101.80,63.30,32.20,Low,Low,High,Moderate,"District has Low proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is High with Moderate irrigation water requirements.",0.00,1.22,HR,648.00,10.35,0.27,Low,Low,3,"Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 648 surface water bodies, covering 0.3% of district area.",100.00,0.00,0,3.3202,300.00,1.00,4,0,0.00,"District has 100 pumps, with 0 % of pumps being electric. The electric tariff subsidy is Low. These pumps abstract 3 MCM of groundwater.",0.00,1.24,1.02,Low,3.00,Low,Small and Marginal farmers hold 0 % of holdings. The average area per holding is 1.24 ha with Low fragmentation of land.,Meghalaya Power Distribution Corporation Limited (MePDCL),,C-,Yes,More than 70 % of feeder is segregated.,300.00,Low,Meghalaya Power Distribution Corporation Limited (MePDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. More than 70 % of feeder is segregated.,,,,,Diesel,,Yes,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,PM-KUSUM B
rajasthan,Jaipur,5.24,57.10,153.90,35.20,70.57,High,Moderate,Moderate,Very High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.",99.13,225.93,SR,82.00,11.19,0.10,Very High,Over-exploited,3,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 82 surface water bodies, covering 0.1% of district area.",100.00,92.00,8,170.6675,167.00,34.26,1,0.261616,0.01,"District has 100 pumps, with 92 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 170 MCM of groundwater.",72.05,1.89,3.57,High,3.00,Very High,Small and Marginal farmers hold 72 % of holdings. The average area per holding is 1.89 ha with Very High fragmentation of land.,Jaipur Vidyut Vitran Nigam Limited (JVVNL),(JVVNL),B,No,,167.00,Moderate,Jaipur Vidyut Vitran Nigam Limited (JVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,High,No,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM model C (IPS)
rajasthan,Jaisalmer,5.58,20.81,132.20,43.10,82.86,Low,Low,Moderate,Very High,"District has Low proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.",20.99,362.01,SR,489.00,5.25,0.01,Low,Over-exploited,2,"Groundwater contribution to irrigation is Low with current groundwater development stage classified as Over-exploited. There are 489 surface water bodies, covering 0% of district area.",100.00,27.00,59,123.6266,167.00,34.02,3,0.118248,0.00,"District has 100 pumps, with 27 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 123 MCM of groundwater.",10.12,7.81,1.85,Low,1.00,Moderate,Small and Marginal farmers hold 10 % of holdings. The average area per holding is 7.81 ha with Moderate fragmentation of land.,Jodhpur Vidyut Vitran Nigam Limited (JDVVNL),JDVVNL),B-,No,,167.00,Moderate,Jodhpur Vidyut Vitran Nigam Limited (JDVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-. ,,,,,Diesel,,No,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,PM-KUSUM B
odisha,Jajapur,4.95,38.85,116.40,18.10,34.00,Moderate,Low,Low,Moderate,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.",25.66,65.94,HR,733.00,2.36,0.08,Moderate,Moderate,1,"Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Moderate. There are 733 surface water bodies, covering 0.1% of district area.",100.00,27.00,70,386.5281,150.00,4.30,3,0.1263,0.00,"District has 100 pumps, with 27 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 386 MCM of groundwater.",95.75,0.79,1.87,Very High,4.00,Moderate,Small and Marginal farmers hold 95 % of holdings. The average area per holding is 0.79 ha with Moderate fragmentation of land.,TP Northern Odisha Distribution Limited (TPNODL),,A+,No data,,150.00,High,TP Northern Odisha Distribution Limited (TPNODL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Diesel,High,No data,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
punjab,Jalandhar,4.71,90.80,166.40,100.00,65.72,Very High,Moderate,Very High,High,"District has Very High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with High irrigation water requirements.",98.87,263.60,SR,1315.00,6.50,0.24,Very High,Over-exploited,2,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 1315 surface water bodies, covering 0.2% of district area.",100.00,95.00,5,2180.215,0.00,24.28,1,0.26776,0.13,"District has 100 pumps, with 95 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 2180 MCM of groundwater.",0.00,4.07,1.23,Low,1.00,Low,Small and Marginal farmers hold 0 % of holdings. The average area per holding is 4.07375503557041 ha with Low fragmentation of land.,Punjab State Power Corporation Limited (PSPCL),,B,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Punjab State Power Corporation Limited (PSPCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,,, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,High,Yes,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources. ,PM-KUSUM model C (IPS)
