District,Text-Crop,Text-Water,Text-Energy,Text-Farmer,Text-Utilty,Text-Model
Barabanki,"District has High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Moderate. There are 9085 surface water bodies, covering 0.7% of district area.","District has 100 pumps, with 30 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 501 MCM of groundwater.",Small and Marginal farmers hold 96 % of holdings. The average area per holding is 0.56 ha with Moderate fragmentation of land.,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. More than 70 % of feeder is segregated.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Baramulla,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with Low irrigation water requirements.","Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 15 surface water bodies, covering 0% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 80 MCM of groundwater.",Small and Marginal farmers hold 96 % of holdings. The average area per holding is 0.52 ha with Very High fragmentation of land.,No data on DISCOM,No data on DISCOM feeder segregation
Baran,"District has Moderate proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is High with Very High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Over-exploited. There are 118 surface water bodies, covering 2% of district area.","District has 100 pumps, with 88 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 1311 MCM of groundwater.",Small and Marginal farmers hold 67 % of holdings. The average area per holding is 2.11 ha with High fragmentation of land.,Jaipur Vidyut Vitran Nigam Limited (JVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.
Barddhaman,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Low irrigation water requirements.","Groundwater contribution to irrigation is Low with current groundwater development stage classified as Moderate. There are 0 surface water bodies, covering 0% of district area.","District has 100 pumps, with  % of pumps being electric. The electric tariff subsidy is Low. These pumps abstract 1470 MCM of groundwater.",Small and Marginal farmers hold 0 % of holdings. The average area per holding is 0 ha with Low fragmentation of land.,West Bengal State Electricity Distribution Company Limited (WBSEDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Bareilly,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Semi-critical. There are 5636 surface water bodies, covering 0.6% of district area.","District has 100 pumps, with 3 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 439 MCM of groundwater.",Small and Marginal farmers hold 93 % of holdings. The average area per holding is 0.73 ha with Moderate fragmentation of land.,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. More than 70 % of feeder is segregated.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Bargarh,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with Moderate irrigation water requirements.","Groundwater contribution to irrigation is Low with current groundwater development stage classified as Moderate. There are 1698 surface water bodies, covering 0.7% of district area.","District has 100 pumps, with 14 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 280 MCM of groundwater.",Small and Marginal farmers hold 85 % of holdings. The average area per holding is 1.23 ha with Moderate fragmentation of land.,TP Western Odisha Distribution Limited (TPWODL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Barmer,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Very High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 339 surface water bodies, covering 0% of district area.","District has 100 pumps, with 44 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 140 MCM of groundwater.",Small and Marginal farmers hold 25 % of holdings. The average area per holding is 6.32 ha with Moderate fragmentation of land.,Jodhpur Vidyut Vitran Nigam Limited (JDVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-.,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation."
Barnala,"District has Very High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 148 surface water bodies, covering 0% of district area.","District has 100 pumps, with 0 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 0 MCM of groundwater.",Small and Marginal farmers hold 0 % of holdings. The average area per holding is 3.94221685158739 ha with Low fragmentation of land.,Punjab State Power Corporation Limited (PSPCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Barpeta,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Moderate with Moderate irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Low. There are 4586 surface water bodies, covering 0.5% of district area.","District has 100 pumps, with 0 % of pumps being electric. The electric tariff subsidy is Low. These pumps abstract 283 MCM of groundwater.",Small and Marginal farmers hold 79 % of holdings. The average area per holding is 1.15 ha with Very High fragmentation of land.,Assam Power Distribution Company Limited (APDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Barwani,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.","Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Semi-critical. There are 149 surface water bodies, covering 0.1% of district area.","District has 100 pumps, with 79 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 371 MCM of groundwater.",Small and Marginal farmers hold 71 % of holdings. The average area per holding is 1.66 ha with High fragmentation of land.,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A. More than 70 % of feeder is segregated.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.
Bastar,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.","Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 652 surface water bodies, covering 1% of district area.","District has 100 pumps, with 89 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 73 MCM of groundwater.",Small and Marginal farmers hold 70 % of holdings. The average area per holding is 1.86 ha with High fragmentation of land.,Chhattisgarh State Power Distribution Company Limited (CSPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-.,"Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations."
Basti,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Moderate. There are 4450 surface water bodies, covering 0.8% of district area.","District has 100 pumps, with 9 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 1153 MCM of groundwater.",Small and Marginal farmers hold 95 % of holdings. The average area per holding is 0.59 ha with High fragmentation of land.,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. More than 70 % of feeder is segregated.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Bathinda,"District has Very High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.","Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Over-exploited. There are 573 surface water bodies, covering 0.2% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 2372 MCM of groundwater.",Small and Marginal farmers hold 0 % of holdings. The average area per holding is 3.98900910380164 ha with Low fragmentation of land.,Punjab State Power Corporation Limited (PSPCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.
Bauda,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with Moderate irrigation water requirements.","Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 0 surface water bodies, covering 0% of district area.","District has 100 pumps, with 87 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 749 MCM of groundwater.",Small and Marginal farmers hold 89 % of holdings. The average area per holding is 1.08 ha with Moderate fragmentation of land.,TP Southern Odisha Distribution Limited (TPSODL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B.,No data on DISCOM feeder segregation
Begusarai,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is High with High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Moderate. There are 139 surface water bodies, covering 0.3% of district area.","District has 100 pumps, with 1 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 312 MCM of groundwater.",Small and Marginal farmers hold 98 % of holdings. The average area per holding is 0.23 ha with Low fragmentation of land.,North Bihar Power Distribution Company Ltd (NBPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Belgaum,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Moderate. There are 145 surface water bodies, covering 0% of district area.","District has 100 pumps, with 21 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 772 MCM of groundwater.",Small and Marginal farmers hold 75 % of holdings. The average area per holding is 1.6 ha with Moderate fragmentation of land.,Hubli Electricity Supply Company Limited (HESCOM) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Bellary,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is High with Very High irrigation water requirements.","Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Low. There are 165 surface water bodies, covering 0.3% of district area.","District has 100 pumps, with 2 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 169 MCM of groundwater.",Small and Marginal farmers hold 72 % of holdings. The average area per holding is 1.69 ha with Moderate fragmentation of land.,Gulbarga Electricity Supply Company Limited (GESCOM) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Bemetara,"District has Very High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is High with High irrigation water requirements.","Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Semi-critical. There are 1616 surface water bodies, covering 8.4% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 420 MCM of groundwater.",Small and Marginal farmers hold 85 % of holdings. The average area per holding is 1.15 ha with Very High fragmentation of land.,Chhattisgarh State Power Distribution Company Limited (CSPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-.,"Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations."
Betul,"District has Moderate proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 3776 surface water bodies, covering 0.6% of district area.","District has 100 pumps, with 86 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 485 MCM of groundwater.",Small and Marginal farmers hold 68 % of holdings. The average area per holding is 1.75 ha with High fragmentation of land.,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.
Bhadrak,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with Moderate irrigation water requirements.","Groundwater contribution to irrigation is Low with current groundwater development stage classified as Moderate. There are 4255 surface water bodies, covering 0.5% of district area.","District has 100 pumps, with 73 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 336 MCM of groundwater.",Small and Marginal farmers hold 95 % of holdings. The average area per holding is 0.76 ha with High fragmentation of land.,TP Northern Odisha Distribution Limited (TPNODL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+.,No data on DISCOM feeder segregation
Bhagalpur,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is High with High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 224 surface water bodies, covering 0% of district area.","District has 100 pumps, with 95 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 253 MCM of groundwater.",Small and Marginal farmers hold 99 % of holdings. The average area per holding is 0.26 ha with Low fragmentation of land.,South Bihar Power Distribution Company Limited (SBPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM."
Bhandara,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Very High irrigation water requirements.","Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Low. There are 2720 surface water bodies, covering 0.7% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 262 MCM of groundwater.",Small and Marginal farmers hold 91 % of holdings. The average area per holding is 0.9 ha with Moderate fragmentation of land.,Maharashtra State Electricity Distribution Company Limited (MSEDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM."
Bharatpur,"District has Very High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is High with High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 1315 surface water bodies, covering 0.2% of district area.","District has 100 pumps, with 73 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 758 MCM of groundwater.",Small and Marginal farmers hold 80 % of holdings. The average area per holding is 1.42 ha with High fragmentation of land.,Jaipur Vidyut Vitran Nigam Limited (JVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.
Bharuch,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is High with Very High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 2247 surface water bodies, covering 0.9% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 194 MCM of groundwater.",Small and Marginal farmers hold 66 % of holdings. The average area per holding is 1.97 ha with Low fragmentation of land.,Dakshin Gujarat Vij Company Limited (DGVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+. More than 70 % of feeder is segregated.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.
Bhavnagar,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Low. There are 1867 surface water bodies, covering 0.7% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 455 MCM of groundwater.",Small and Marginal farmers hold 67 % of holdings. The average area per holding is 2.02 ha with Low fragmentation of land.,Paschim Gujarat Vij Company Limited (PGVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+. More than 70 % of feeder is segregated.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.
Bhilwara,"District has Moderate proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 1877 surface water bodies, covering 64.4% of district area.","District has 100 pumps, with 96 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 456 MCM of groundwater.",Small and Marginal farmers hold 76 % of holdings. The average area per holding is 1.58 ha with Very High fragmentation of land.,Ajmer Vidyut Vitran Nigam Limited (AVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.
Bhind,"District has Very High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is High with High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 1604 surface water bodies, covering 0.3% of district area.","District has 100 pumps, with 78 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 293 MCM of groundwater.",Small and Marginal farmers hold 76 % of holdings. The average area per holding is 1.38 ha with Very High fragmentation of land.,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.
Bhiwani,"District has Very High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is High with Very High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Over-exploited. There are 258 surface water bodies, covering 0% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 447 MCM of groundwater.",Small and Marginal farmers hold 58 % of holdings. The average area per holding is 2.59 ha with Low fragmentation of land.,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A. More than 70 % of feeder is segregated.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.
Bhojpur,"District has Very High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Very High with High irrigation water requirements.","Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Low. There are 1207 surface water bodies, covering 1% of district area.","District has 100 pumps, with 13 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 379 MCM of groundwater.",Small and Marginal farmers hold 95 % of holdings. The average area per holding is 0.41 ha with High fragmentation of land.,South Bihar Power Distribution Company Limited (SBPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Bhopal,"District has High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Semi-critical. There are 390 surface water bodies, covering 2.3% of district area.","District has 100 pumps, with 96 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 297 MCM of groundwater.",Small and Marginal farmers hold 68 % of holdings. The average area per holding is 1.9 ha with Moderate fragmentation of land.,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.
Bid,"District has Very High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is High with Very High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Moderate. There are 4235 surface water bodies, covering 15.4% of district area.","District has 100 pumps, with 99 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 731 MCM of groundwater.",Small and Marginal farmers hold 83 % of holdings. The average area per holding is 1.19 ha with Moderate fragmentation of land.,Maharashtra State Electricity Distribution Company Limited (MSEDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation."
Bidar,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Moderate. There are 730 surface water bodies, covering 1% of district area.","District has 100 pumps, with 99 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 198 MCM of groundwater.",Small and Marginal farmers hold 73 % of holdings. The average area per holding is 1.7 ha with Moderate fragmentation of land.,Gulbarga Electricity Supply Company Limited (GESCOM) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation."
Bijapur,"District has Low proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.","Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Low. There are 170 surface water bodies, covering 0.1% of district area.","District has 100 pumps, with 91 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 37 MCM of groundwater.",Small and Marginal farmers hold 47 % of holdings. The average area per holding is 2.65 ha with Very High fragmentation of land.,Chhattisgarh State Power Distribution Company Limited (CSPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-.,"Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations."
Bijapur-K,"District has Low proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Low. There are 14 surface water bodies, covering 0% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 349 MCM of groundwater.",Small and Marginal farmers hold 53 % of holdings. The average area per holding is 2.58 ha with Moderate fragmentation of land.,Hubli Electricity Supply Company Limited (HESCOM) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation."
Bijnor,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Semi-critical. There are 7465 surface water bodies, covering 0.6% of district area.","District has 100 pumps, with 5 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 813 MCM of groundwater.",Small and Marginal farmers hold 89 % of holdings. The average area per holding is 0.88 ha with Moderate fragmentation of land.,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Bikaner,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.","Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Over-exploited. There are 0 surface water bodies, covering 0% of district area.","District has 100 pumps, with 40 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 437 MCM of groundwater.",Small and Marginal farmers hold 12 % of holdings. The average area per holding is 7.16 ha with Moderate fragmentation of land.,No data on DISCOM,No data on DISCOM feeder segregation
Bilaspur,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with Moderate irrigation water requirements.","Groundwater contribution to irrigation is Low with current groundwater development stage classified as Moderate. There are 983 surface water bodies, covering 0.2% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 274 MCM of groundwater.",Small and Marginal farmers hold 89 % of holdings. The average area per holding is 0.96 ha with High fragmentation of land.,Chhattisgarh State Power Distribution Company Limited (CSPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-.,"Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations."
Bilaspur-HP,"District has Moderate proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Moderate with Moderate irrigation water requirements.","Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Low. There are 4682 surface water bodies, covering 0.1% of district area.","District has 100 pumps, with 99 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 0 MCM of groundwater.",Small and Marginal farmers hold 91 % of holdings. The average area per holding is 0.8 ha with High fragmentation of land.,Himachal Pradesh State Electricity Board Limited (HPSEBL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C.,"Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations."
