District,Adapt_new,Mitigate_new,Replace_new,Combine,Commnity_SIP
Thiruvarur,Very High,Very High,High,All,Community SIP
Tonk,Moderate,High,Very High,Mitigation + GW Sustainability,Community SIP
Amethi,Low,Very High,Moderate,Mitigation,Community SIP
Bageshwar,Moderate,Moderate,Very Low,,Community SIP
Ballia,Low,Very High,Moderate,Mitigation,Community SIP
Bijnor,Very Low,Very High,Moderate,Mitigation,Community SIP
Bilaspur-HP,Moderate,Very Low,Low,,Community SIP
Chamba,Low,Very Low,Very Low,,Community SIP
Dungarpur,High,Moderate,High,Adaptation + GW Sustainability,Community SIP
Fatehpur,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Gajapati,High,Low,Very Low,Adaptation,Community SIP
Gomati,High,Very Low,Low,Adaptation,Community SIP
Hardoi,Low,Very High,Moderate,Mitigation,Community SIP
Idukki,High,Very Low,Low,Adaptation,Community SIP
Jabalpur,Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Kandhamal,High,Very Low,Very Low,Adaptation,Community SIP
Kangra,Low,Very Low,Low,,Community SIP
Kanniyakumari,Very High,High,Moderate,Adaptation + Mitigation,Community SIP
Kishtwar,Moderate,Very Low,Very Low,,Community SIP
Kollam,High,Very Low,Low,Adaptation,Community SIP
Malappuram,High,Very Low,Moderate,Adaptation,Community SIP
Mirzapur,Low,High,Moderate,Mitigation,Community SIP
Morena,Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Mumbai City,No Data,No Data,No Data,No Data,Community SIP
Namakkal,Very Low,High,High,Mitigation + GW Sustainability,Community SIP
Poonch,High,Very Low,Very Low,Adaptation,Community SIP
Ramanathapuram,Very High,High,Moderate,Adaptation + Mitigation,Community SIP
Sambhal,Low,High,High,Mitigation + GW Sustainability,Community SIP
Sant Ravi Das Nagar,Very Low,Very High,Moderate,Mitigation,Community SIP
Subarnapur,Very High,Low,Low,Adaptation,Community SIP
Thane,High,Low,Low,Adaptation,Community SIP
Thanjavur,Moderate,High,Very High,Mitigation + GW Sustainability,Community SIP
Unnao,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Varanasi,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
West Tripura,High,Low,Low,Adaptation,Community SIP
Bangalore,Very Low,Low,Moderate,,Community SIP
Bhilwara,Moderate,High,Very High,Mitigation + GW Sustainability,Community SIP
Datia,Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Dhar,Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Pali,Moderate,Very Low,High,GW Sustainability,Community SIP
Sagar,Low,High,High,Mitigation + GW Sustainability,Community SIP
Sukma,Low,Very Low,Very Low,,Community SIP
Azamgarh,Very Low,Very High,Moderate,Mitigation,Community SIP
Barabanki,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Bulandshahr,Very Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Chandauli,Low,Very High,Moderate,Mitigation,Community SIP
Ghazipur,Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Hamirpur,Low,Very Low,Low,,Community SIP
Hardwar,Very Low,Very High,Moderate,Mitigation,Community SIP
Kasganj,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Kushinagar,Low,High,Moderate,Mitigation,Community SIP
Lakhimpur Kheri,Low,Very High,Moderate,Mitigation,Community SIP
Mau,Very Low,Very High,Moderate,Mitigation,Community SIP
Nagappattinam,High,Moderate,High,Adaptation + GW Sustainability,Community SIP
Palakkad,High,Very Low,Moderate,Adaptation,Community SIP
Saharanpur,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Shahjahanpur,Moderate,High,Very High,Mitigation + GW Sustainability,Community SIP
Agar Malwa,Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Amroha,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Baghpat,Very Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Changlang,Moderate,Very Low,Very Low,,Community SIP
Chhindwara,Low,Moderate,High,GW Sustainability,Community SIP
Damoh,Very Low,Moderate,High,GW Sustainability,Community SIP
Dewas,Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Dhamtari,Very Low,Very Low,Low,,Community SIP
Garhwal,Moderate,Very Low,Low,,Community SIP
Hathras,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Hugli,Moderate,Very High,High,Mitigation + GW Sustainability,Community SIP
Jaipur,Very Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Kancheepuram,Moderate,Moderate,High,GW Sustainability,Community SIP
Karimnagar,Moderate,High,Very High,Mitigation + GW Sustainability,Community SIP
Katihar,Very Low,High,Moderate,Mitigation,Community SIP
Katni,Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Kolar,Low,Moderate,Very High,GW Sustainability,Community SIP
Mahisagar,Moderate,High,High,Mitigation + GW Sustainability,Community SIP
Mathura,Very Low,High,High,Mitigation + GW Sustainability,Community SIP
Muzaffarnagar,Very Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Nainital,Very Low,High,Moderate,Mitigation,Community SIP
Neemuch,Very Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Nizamabad,Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Pratapgarh,Low,Very Low,High,GW Sustainability,Community SIP
Puducherry,Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Pudukkottai,High,High,High,All,Community SIP
Rampur,Very Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Salem,Very Low,High,High,Mitigation + GW Sustainability,Community SIP
Sant Kabir Nagar,Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Shamli,Very Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Sheopur,Very Low,High,High,Mitigation + GW Sustainability,Community SIP
Shivpuri,Very Low,Moderate,High,GW Sustainability,Community SIP
Shravasti,Moderate,Moderate,Moderate,,Community SIP
Sikar,Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Sirohi,Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Sivaganga,Moderate,Low,Moderate,,Community SIP
Tikamgarh,Very Low,Moderate,Very High,GW Sustainability,Community SIP
Tiruvannamalai,Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Udupi,Moderate,Low,Moderate,,Community SIP
Ujjain,Very Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Una,Very Low,High,Moderate,Mitigation,Community SIP
Uttar Dinajpur,Moderate,High,Low,Mitigation,Community SIP
Vaishali,Very Low,Moderate,High,GW Sustainability,Community SIP
Virudunagar,High,Moderate,High,Adaptation + GW Sustainability,Community SIP
Doda,High,Very Low,Very Low,Adaptation,Community SIP
Krishnagiri,Very Low,Moderate,High,GW Sustainability,Community SIP
Medak,Moderate,Very High,High,Mitigation + GW Sustainability,Community SIP
North 24 Parganas,Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Purba Medinipur,High,Moderate,High,Adaptation + GW Sustainability,Community SIP
Rajsamand,Low,Low,High,GW Sustainability,Community SIP
Udaipur,Moderate,Moderate,Very High,GW Sustainability,Community SIP
Ratlam,Very Low,Moderate,Very High,GW Sustainability,Community SIP
Shajapur,Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Allahabad,Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Ambedkar Nagar,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Anantnag,Moderate,Low,Moderate,,Community SIP
Dadra and Nagar Haveli,Low,Low,Low,,Community SIP
Dindigul,Very Low,Very Low,High,GW Sustainability,Community SIP
Faizabad,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Hapur,Very Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Jaunpur,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Kannauj,Very Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Karur,Low,High,High,Mitigation + GW Sustainability,Community SIP
Kathua,Moderate,Very Low,Low,,Community SIP
Leh (Ladakh),No Data,No Data,No Data,No Data,Community SIP
Lucknow,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Madurai,High,High,High,All,Community SIP
Meerut,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Pithoragarh,Moderate,Very Low,Low,,Community SIP
Samba,Moderate,Very Low,Low,,Community SIP
Sipahijala,High,Low,Low,Adaptation,Community SIP
Thiruvallur,Low,Moderate,High,GW Sustainability,Community SIP
Thrissur,Moderate,Low,Moderate,,Community SIP
Uttara Kannada,Moderate,Low,Moderate,,Community SIP
Warangal,Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Bharatpur,Very Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Chhatarpur,Very Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Chittaurgarh,Very Low,Moderate,Very High,GW Sustainability,Community SIP
Jhalawar,Moderate,High,Very High,Mitigation + GW Sustainability,Community SIP
Mandsaur,Very Low,Moderate,Very High,GW Sustainability,Community SIP
Rajgarh,Low,Moderate,Very High,GW Sustainability,Community SIP
Almora,Moderate,Very Low,Low,,Community SIP
Cuddalore,Moderate,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Dehradun,Low,Moderate,Moderate,,Community SIP
Firozabad,Very Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Ghaziabad,Very Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Gonda,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Udham Singh Nagar,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Viluppuram,Moderate,Moderate,Very High,GW Sustainability,Community SIP
Chikballapura,Very Low,Low,Very High,GW Sustainability,Community SIP
Dakshina Kannada,Low,High,Low,Mitigation,Community SIP
Daman,High,Very Low,Moderate,Adaptation,Community SIP
Dausa,Very Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Dharmapuri,Very Low,Moderate,High,GW Sustainability,Community SIP
Kargil,No Data,No Data,No Data,No Data,Community SIP
Koch Bihar,High,Moderate,Moderate,Adaptation,Community SIP
Lakshadweep,Low,Very Low,Low,,Community SIP
Aravalli,Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Indore,Very Low,Moderate,Very High,GW Sustainability,Community SIP
Ganderbal,Moderate,Low,High,GW Sustainability,Community SIP
Kasaragod,Low,Moderate,High,GW Sustainability,Community SIP
Agra,Very Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Moradabad,Very Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Pashchim Medinipur,Low,Moderate,Very High,GW Sustainability,Community SIP
Sawai Madhopur,Very Low,Moderate,Very High,GW Sustainability,Community SIP
Solan,Very Low,Very Low,Moderate,,Community SIP
Theni,Very Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Tiruppur,Very Low,Very Low,High,GW Sustainability,Community SIP
Hyderabad,No Data,No Data,No Data,No Data,Community SIP
Kaushambi,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Alwar,Very Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Chamrajnagar,Low,Low,Moderate,,Community SIP
Coimbatore,Very Low,Low,Very High,GW Sustainability,Community SIP
Diu,Very Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Karauli,Very Low,Very Low,Very High,GW Sustainability,Community SIP
Vellore,Very Low,Low,Very High,GW Sustainability,Community SIP
Gautam Buddha Nagar,Very Low,Moderate,Very High,GW Sustainability,Community SIP
Chandigarh,Very Low,Low,Very High,GW Sustainability,Community SIP
Dhaulpur,Very Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Yamunanagar,Very Low,Moderate,Very High,GW Sustainability,Community SIP
Barddhaman,Moderate,No Data,No Data,,Community SIP
Dibang Valley,Low,No Data,No Data,,Community SIP
