District,Adapt,Mitigate,Replace,General_SI,1Cult_land1,1Crop_Int,1Irrig_Inte,1IWU,1GW_Irr_Sh,1GW_Dev,1no_of_SWB,1SW_body,1ElectPtg,1DieselPtg,1el_Tariff,1S_M_Hold,1ALLGrps,1ALLGrpsNo,1DISCOMNam,1DISCOMRat,1Feederseg
Chikballapura,Very Low,Low,Very High,GW Sustainability,49.84,111.3,26.9,56.52,78.78,153.82,753.0,0.22,99.0,,,91.53,0.81,1.47,Bangalore Electricity Supply Company Limited (BESCOM),C,Yes
Chikmagalur,Moderate,Very Low,Low,No Data,42.65,119.4,16.9,46.79,48.58,53.2,477.0,0.04,99.0,1.0,,83.19,1.37,1.65,Mangalore Electricity Supply Company Limited (MESCOM),A,Yes
Chirang,High,Low,Very Low,Adaptation,30.95,144.7,9.6,33.26,58.69,2.53,3042.0,0.35,5.0,95.0,465.0,90.73,0.78,1.42,Assam Power Distribution Company Limited (APDCL),B-,No
Chitradurga,Very Low,Low,Very High,GW Sustainability,58.24,117.4,26.3,67.62,82.65,132.25,460.0,0.2,100.0,,,71.58,1.79,1.45,Bangalore Electricity Supply Company Limited (BESCOM),C,Yes
Chitrakoot,Low,High,Moderate,Mitigation,48.69,116.5,51.9,68.47,47.57,82.32,425.0,0.25,17.0,83.0,,88.04,1.04,2.68,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Chittaurgarh,Very Low,Moderate,Very High,GW Sustainability,44.5,175.7,46.6,75.88,92.2,156.43,453.0,0.46,99.0,1.0,167.0,77.03,1.61,2.99,Ajmer Vidyut Vitran Nigam Limited (AVVNL),B,No
Chittoor,Moderate,Moderate,Moderate,No Data,24.58,118.6,43.0,62.03,74.1,56.11,10669.0,4.69,99.0,1.0,,91.65,0.82,1.68,Southern Power Distribution Company of Andhra Pradesh Limited (APSPDCL),B-,Yes
Churachandpur,Very High,Low,Very Low,Adaptation,100.0,120.2,2.6,34.98,,6.18,130.0,,,,515.0,92.32,0.88,1.0,Manipur State Power Distribution Company Limited (MSPDCL),C,Yes
Churu,Very Low,Moderate,Moderate,No Data,80.94,124.7,20.9,69.8,91.71,125.84,,,51.0,46.0,167.0,20.4,5.38,1.66,Jodhpur Vidyut Vitran Nigam Limited (JDVVNL),B-,No
Coimbatore,Very Low,Low,Very High,GW Sustainability,35.0,103.5,65.9,61.47,64.7,89.03,939.0,0.15,90.0,10.0,,75.48,1.54,2.07,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Cuddalore,Moderate,Very High,Very High,Mitigation + GW Sustainability,57.22,148.7,59.3,57.04,54.62,64.14,3810.0,23.56,99.0,,,94.34,0.7,1.01,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Cuttack,Very High,Moderate,Very Low,Adaptation,35.33,118.9,45.7,35.37,12.86,45.67,882.0,0.06,23.0,76.0,150.0,97.54,0.65,1.97,TP Central Odisha Distribution Limited (TPCODL),A+,No data
Dadra and Nagar Haveli,Low,Low,Low,No Data,44.99,123.9,33.5,66.21,58.47,131.53,,,45.0,55.0,110.0,81.93,1.37,2.35,DNHDDPDCL,A+,No data
Dahod,Moderate,High,High,Mitigation + GW Sustainability,61.23,161.4,33.2,76.68,90.36,39.49,2250.0,1.52,100.0,,60.0,61.74,2.22,1.02,Madhya Gujarat Vij Company Limited (MGVCL),A+,Yes
Dakshin Dinajpur,High,Very High,High,All,84.13,184.8,18.4,47.05,63.25,60.09,30939.0,4.86,63.0,36.0,460.0,93.88,0.87,2.95,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
Dakshina Kannada,Low,High,Low,Mitigation,39.83,107.6,50.0,48.13,89.88,44.78,1.0,,100.0,,,91.81,0.82,1.0,Mangalore Electricity Supply Company Limited (MESCOM),A,Yes
Daman,High,Very Low,Moderate,Adaptation,89.87,102.7,,,,158.84,,,100.0,,110.0,97.91,0.37,3.71,DNHDDPDCL,A+,No data
Damoh,Very Low,Moderate,High,GW Sustainability,44.25,175.5,36.4,70.83,60.64,58.48,578.0,0.13,98.0,2.0,135.0,78.54,1.45,2.48,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Dantewada,Moderate,Very Low,Very Low,No Data,25.9,101.0,0.2,42.11,,15.29,188.0,0.09,99.0,,,42.71,4.72,3.54,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Darbhanga,Low,High,High,Mitigation + GW Sustainability,55.48,116.3,79.7,55.63,83.38,52.34,3759.0,2.69,30.0,69.0,67.5,97.83,0.41,2.14,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Darjiling,Very High,Low,Very Low,Adaptation,52.54,119.4,7.0,23.41,47.02,15.65,569.0,0.09,19.0,81.0,460.0,98.1,0.54,1.48,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
Darrang,Very High,Very Low,Very Low,Adaptation,58.57,127.0,16.6,38.15,41.37,35.03,2006.0,0.12,2.0,97.0,465.0,91.12,0.82,2.32,Assam Power Distribution Company Limited (APDCL),B-,No
Datia,Low,High,Very High,Mitigation + GW Sustainability,72.35,154.3,65.8,72.48,50.44,36.05,956.0,0.4,100.0,,135.0,77.06,1.33,2.82,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),B,Yes
Dausa,Very Low,High,Very High,Mitigation + GW Sustainability,65.95,158.2,42.1,70.29,99.15,233.22,9.0,0.05,86.0,14.0,167.0,81.17,1.41,3.43,Jaipur Vidyut Vitran Nigam Limited (JVVNL),B,No
Davanagere,Moderate,Very Low,High,GW Sustainability,72.48,121.6,43.7,62.22,37.85,88.91,387.0,0.27,100.0,,,80.18,1.35,1.26,Bangalore Electricity Supply Company Limited (BESCOM),C,Yes
Debagarh,Very High,Very Low,Very Low,Adaptation,28.24,102.7,4.9,35.15,13.42,57.44,,,49.0,50.0,150.0,94.19,0.88,2.74,TP Northern Odisha Distribution Limited (TPNODL),A+,No data
Dehradun,Low,Moderate,Moderate,No Data,9.28,146.6,52.0,52.49,32.11,32.15,210.0,0.06,100.0,,285.0,88.66,0.92,2.6,Uttarakhand Power Corporation Limited (UPCL),B-,Yes
Deoghar,Moderate,Low,Low,No Data,14.41,117.0,15.0,45.31,37.89,53.37,4117.0,3.28,100.0,,95.0,81.46,1.4,2.03,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Deoria,Low,Very High,High,Mitigation + GW Sustainability,75.65,167.5,92.1,76.36,72.07,62.33,4584.0,0.76,35.0,63.0,,96.22,0.55,1.33,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Devbhumi Dwarka,Very Low,High,High,Mitigation + GW Sustainability,59.71,109.9,23.9,74.25,92.86,56.5,934.0,0.44,99.0,,60.0,54.79,2.28,1.01,Paschim Gujarat Vij Company Limited (PGVCL),A+,Yes
Dewas,Low,Very High,Very High,Mitigation + GW Sustainability,58.61,189.7,51.3,71.63,85.27,80.0,2688.0,3.28,73.0,26.0,135.0,72.4,1.79,2.12,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Dhalai,High,Very Low,Low,Adaptation,9.82,176.4,24.8,34.6,13.51,6.99,,,100.0,,405.0,96.1,0.61,1.45,Tripura State Electricity Corporation Limited (TSECL),C,No
Dhamtari,Very Low,Very Low,Low,No Data,34.67,147.5,71.4,47.56,20.22,78.22,1741.0,0.51,100.0,,,89.24,0.98,2.44,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Dhanbad,High,Very Low,Low,Adaptation,4.41,116.9,6.4,39.12,45.84,74.34,4060.0,99.03,100.0,,95.0,91.95,0.65,1.0,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Dhar,Low,High,Very High,Mitigation + GW Sustainability,61.86,170.0,51.0,75.49,58.71,65.4,3261.0,0.95,100.0,,135.0,70.96,1.8,2.92,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Dharmapuri,Very Low,Moderate,High,GW Sustainability,37.09,139.3,37.9,65.06,76.84,98.78,1225.0,0.33,98.0,2.0,,95.03,0.65,1.36,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Dharwad,High,Low,Moderate,Adaptation,80.52,144.7,12.4,64.54,48.12,56.24,87.0,0.04,100.0,,,65.87,2.07,1.86,Hubli Electricity Supply Company Limited (HESCOM),C,Yes
Dhaulpur,Very Low,High,Very High,Mitigation + GW Sustainability,51.22,156.8,55.0,62.77,93.34,135.98,,,100.0,,167.0,84.79,1.16,3.54,Jaipur Vidyut Vitran Nigam Limited (JVVNL),B,No
Dhemaji,Moderate,Very Low,Very Low,No Data,23.1,161.5,1.2,23.65,70.2,5.07,6446.0,0.26,2.0,98.0,465.0,87.03,0.99,2.39,Assam Power Distribution Company Limited (APDCL),B-,No
Dhenkanal,High,Very Low,Very Low,Adaptation,23.23,103.3,20.5,33.28,17.95,38.86,1033.0,0.2,43.0,56.0,150.0,96.76,0.78,2.29,TP Central Odisha Distribution Limited (TPCODL),A+,No data
Dhubri,High,Moderate,Very Low,Adaptation,42.35,192.5,13.4,35.63,66.28,28.66,10509.0,0.75,3.0,97.0,465.0,87.9,0.91,5.59,Assam Power Distribution Company Limited (APDCL),B-,No
Dhule,High,Moderate,High,Adaptation + GW Sustainability,48.99,107.7,25.2,74.64,79.32,51.77,3557.0,1.51,98.0,2.0,155.0,71.35,1.69,1.31,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Dibang Valley,Low,No Data,No Data,No Data,49.16,,,,,,14.0,,,,290.0,,,,,,No data
Dibrugarh,High,Low,Very Low,Adaptation,44.56,109.4,1.2,24.41,60.26,6.71,14037.0,0.63,5.0,95.0,465.0,85.2,0.96,2.16,Assam Power Distribution Company Limited (APDCL),B-,No
Dima Hasao,High,Very Low,Very Low,Adaptation,8.64,132.6,1.8,33.15,28.12,1.01,487.0,0.01,5.0,95.0,465.0,99.43,0.62,1.57,Assam Power Distribution Company Limited (APDCL),B-,No
Dimapur,Moderate,Very Low,Very Low,No Data,64.13,144.6,47.4,37.05,4.43,5.55,510.0,0.13,,,320.0,17.47,3.81,1.9,,,No data
Dindigul,Very Low,Very Low,High,GW Sustainability,35.14,101.3,37.7,65.14,85.17,114.68,2350.0,0.17,86.0,13.0,,88.02,0.96,2.35,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Dindori,High,Low,Low,Adaptation,55.15,144.7,1.5,65.08,19.99,12.52,1520.0,0.32,98.0,2.0,135.0,71.04,1.66,2.98,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),A,Yes
Diu,Very Low,High,Very High,Mitigation + GW Sustainability,74.96,113.8,104.9,63.64,99.02,230.02,,,99.0,1.0,110.0,97.87,0.22,5.97,,,No data
Doda,High,Very Low,Very Low,Adaptation,15.97,129.2,8.7,31.9,1.87,47.37,99.0,,97.0,3.0,235.0,94.83,0.57,3.19,,,No data
Dumka,Moderate,Low,Low,No Data,14.08,115.6,10.6,34.31,41.68,24.61,9370.0,1.36,,,95.0,70.05,1.73,2.31,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Dungarpur,High,Moderate,High,Adaptation + GW Sustainability,34.25,147.0,25.0,78.22,54.72,59.85,83.0,0.08,91.0,8.0,167.0,86.53,0.98,5.13,Ajmer Vidyut Vitran Nigam Limited (AVVNL),B,No
Durg,Low,Low,High,GW Sustainability,64.06,126.6,69.9,48.89,27.06,76.19,1432.0,0.83,100.0,,,86.73,1.15,2.51,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
East Garo Hills,High,Very Low,Very Low,Adaptation,15.63,111.8,36.1,28.76,0.73,4.11,168.0,0.1,,,300.0,84.41,0.8,2.77,Meghalaya Power Distribution Corporation Limited (MePDCL),C-,Yes
East Godavari,High,Moderate,Moderate,Adaptation,31.08,153.8,74.0,62.36,24.66,29.69,22218.0,3.18,96.0,4.0,,94.9,0.63,1.62,Eastern Power Distribution Company of Andhra Pradesh Limited (APEPDCL),B-,Yes
East Kameng,Low,Very Low,Very Low,No Data,54.09,122.8,14.3,27.68,26.47,1.27,220.0,0.02,,,290.0,21.62,3.85,3.04,,,No data
East Khasi Hills,Very High,Low,Very Low,Adaptation,12.45,131.1,26.8,30.33,0.12,2.84,1352.0,1.01,,,300.0,81.23,1.12,1.43,Meghalaya Power Distribution Corporation Limited (MePDCL),C-,Yes
East Nimar,Low,High,High,Mitigation + GW Sustainability,40.98,160.3,44.0,74.64,79.42,41.48,,,84.0,16.0,135.0,67.22,1.92,1.94,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),A,Yes
East Siang,Low,Very Low,Very Low,No Data,58.83,174.8,16.0,13.02,0.72,0.32,73.0,,,,290.0,16.22,4.85,1.6,,,No data
East Sikkim,No Data,No Data,No Data,No Data,,150.0,15.4,16.62,0.02,4.38,35.0,0.01,18.0,82.0,,82.06,1.14,1.0,,,No data
Ernakulam,Very High,Very Low,Low,Adaptation,47.13,110.4,18.6,42.52,49.48,49.63,4416.0,2.05,100.0,,195.0,99.26,0.1,1.11,Kerala State Electricity Board Limited (KSEBL),B-,No
Erode,Low,Moderate,Very High,GW Sustainability,28.11,104.8,65.1,68.28,52.53,80.18,1168.0,1.72,84.0,6.0,,82.87,1.26,1.83,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Etah,Low,Very High,High,Mitigation + GW Sustainability,78.3,167.7,92.8,76.94,62.53,72.94,1877.0,0.39,6.0,94.0,,93.38,0.72,1.59,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Etawah,Low,Very High,High,Mitigation + GW Sustainability,62.6,172.7,80.6,76.45,56.23,50.48,1808.0,4.15,22.0,78.0,,89.88,0.8,2.48,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Faizabad,Very Low,Very High,High,Mitigation + GW Sustainability,62.04,162.1,92.6,73.29,86.32,62.57,,,35.0,64.0,,96.1,0.55,1.78,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL),A,Yes
Faridabad,Very Low,High,Very High,Mitigation + GW Sustainability,43.16,190.1,100.0,83.51,67.79,200.45,265.0,0.27,100.0,,10.0,79.9,1.36,1.15,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL),A,Yes
Faridkot,Very Low,Low,High,GW Sustainability,86.49,190.3,100.0,81.17,36.79,128.8,184.0,0.11,100.0,,,,3.96,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Farrukhabad,Very Low,Very High,Very High,Mitigation + GW Sustainability,78.67,131.6,93.8,74.42,88.05,74.12,2255.0,0.19,5.0,95.0,,94.42,0.63,1.55,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Fatehabad,Very Low,Moderate,Very High,GW Sustainability,87.71,195.3,99.0,85.6,36.25,182.46,270.0,0.14,100.0,,10.0,64.41,2.19,1.0,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL),A,Yes
Fatehgarh Sahib,Very Low,High,Very High,Mitigation + GW Sustainability,88.86,182.5,100.0,68.66,97.59,215.61,639.0,0.63,83.0,16.0,,,3.36,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Fatehpur,Very Low,Very High,High,Mitigation + GW Sustainability,70.49,148.3,74.8,76.88,93.52,72.41,5370.0,0.11,18.0,82.0,,92.43,0.73,1.93,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Fazilka,Very Low,Low,High,GW Sustainability,87.94,189.7,100.0,84.87,48.44,76.21,714.0,0.18,97.0,3.0,,,4.54,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Firozabad,Very Low,High,Very High,Mitigation + GW Sustainability,73.29,173.2,73.7,68.1,86.67,104.69,1692.0,0.06,67.0,33.0,,89.41,0.9,1.77,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Firozpur,Very Low,Low,Very High,GW Sustainability,91.5,189.9,100.0,86.45,55.12,131.89,493.0,0.12,99.0,,,,4.61,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Gadag,Moderate,Low,High,GW Sustainability,84.43,135.2,16.4,66.52,49.67,74.62,92.0,0.02,99.0,,,64.06,2.16,1.95,Hubli Electricity Supply Company Limited (HESCOM),C,Yes
Gajapati,High,Low,Very Low,Adaptation,19.39,108.8,58.0,37.02,12.97,35.92,309.0,0.17,50.0,46.0,150.0,90.97,1.02,2.66,TP Southern Odisha Distribution Limited (TPSODL),B,No data
Ganderbal,Moderate,Low,High,GW Sustainability,32.14,140.1,79.9,44.36,0.37,51.67,8.0,5.39,100.0,,235.0,99.35,0.3,4.65,,,No data
Gandhinagar,Low,Very High,Very High,Mitigation + GW Sustainability,78.44,146.7,63.5,79.93,99.63,92.3,793.0,1.03,91.0,7.0,60.0,84.14,1.22,1.2,Torrent Power Surat (Torrent Power Surat),A+,Yes
Ganganagar,Low,Moderate,Moderate,No Data,67.51,166.3,89.6,80.43,2.67,39.53,,,45.0,55.0,167.0,11.01,7.42,1.77,Jodhpur Vidyut Vitran Nigam Limited (JDVVNL),B-,No
Ganjam,Very High,Moderate,Low,Adaptation,43.75,120.9,56.7,34.41,7.67,40.87,2307.0,12.61,41.0,58.0,150.0,95.08,0.7,1.89,TP Southern Odisha Distribution Limited (TPSODL),B,No data
Garhchiroli,Moderate,Very Low,Low,No Data,9.55,133.1,30.8,66.39,28.02,24.37,3028.0,0.21,100.0,,155.0,73.02,1.58,1.63,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Garhwa,Moderate,Low,Low,No Data,17.1,145.5,30.1,46.55,41.05,35.75,3681.0,1.75,3.0,97.0,95.0,90.85,0.86,4.09,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Garhwal,Moderate,Very Low,Low,No Data,6.03,144.0,,44.69,17.05,,,,94.0,6.0,285.0,95.27,0.81,2.16,Uttarakhand Power Corporation Limited (UPCL),B-,Yes
Gariaband,High,Very Low,Moderate,Adaptation,22.39,115.2,39.3,45.28,11.46,63.94,1683.0,28.36,96.0,2.0,,82.49,1.26,2.55,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Gautam Buddha Nagar,Very Low,Moderate,Very High,GW Sustainability,41.06,192.6,100.0,82.86,69.93,104.79,290.0,,77.0,22.0,,91.82,0.83,1.97,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),B,Yes
Gaya,High,Very High,Low,Adaptation + Mitigation,34.44,114.8,90.7,61.32,45.92,48.08,1265.0,13.48,10.0,90.0,67.5,96.73,0.5,2.57,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Ghaziabad,Very Low,Very High,Very High,Mitigation + GW Sustainability,53.77,148.7,100.0,76.72,78.46,123.15,908.0,0.36,8.0,92.0,,91.8,0.8,2.24,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),B,Yes
Ghazipur,Low,Very High,High,Mitigation + GW Sustainability,78.18,172.1,88.3,73.3,62.82,59.18,3196.0,0.13,33.0,64.0,,95.77,0.61,1.54,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Gir Somnath,Low,Very High,High,Mitigation + GW Sustainability,66.46,187.9,58.2,84.84,98.99,45.85,546.0,0.68,100.0,,60.0,78.45,1.57,1.0,Paschim Gujarat Vij Company Limited (PGVCL),A+,Yes
Giridih,Very Low,High,Very Low,Mitigation,8.54,259.8,17.8,42.12,56.57,37.75,5127.0,0.72,4.0,96.0,95.0,94.32,0.58,2.0,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Goalpara,High,Very Low,Very Low,Adaptation,39.68,175.0,18.3,37.76,42.89,21.18,9007.0,0.76,,100.0,465.0,88.16,0.94,4.66,Assam Power Distribution Company Limited (APDCL),B-,No
Godda,Very High,Moderate,Low,Adaptation,21.02,132.9,14.5,44.39,48.22,21.28,3902.0,22.54,3.0,92.0,95.0,82.48,1.22,2.06,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Golaghat,Very High,Very Low,Very Low,Adaptation,40.93,127.4,0.3,34.05,27.96,6.12,9496.0,0.27,8.0,92.0,465.0,83.41,1.01,2.82,Assam Power Distribution Company Limited (APDCL),B-,No
Gomati,High,Very Low,Low,Adaptation,27.05,185.3,26.6,36.8,16.8,5.92,,,100.0,,405.0,93.83,0.6,1.35,Tripura State Electricity Corporation Limited (TSECL),C,No
Gonda,Very Low,Very High,High,Mitigation + GW Sustainability,60.46,157.3,88.2,70.02,83.23,60.11,2932.0,0.29,41.0,59.0,,96.5,0.58,1.48,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),C-,Yes
Gondiya,Very High,Low,Low,Adaptation,29.51,125.4,48.3,69.0,22.19,26.31,4100.0,0.96,90.0,10.0,155.0,92.37,0.82,1.71,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Gopalganj,Very High,Very High,Moderate,Adaptation + Mitigation,68.1,117.1,81.8,67.9,68.03,49.22,1678.0,6.2,44.0,56.0,67.5,98.63,0.19,4.6,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Gorakhpur,Low,Very High,Low,Mitigation,71.07,163.3,69.6,75.85,78.69,63.42,5974.0,0.71,2.0,94.0,,96.83,0.55,1.63,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Gulbarga,Very High,Moderate,Low,Adaptation,81.33,122.9,12.5,48.77,43.01,41.06,527.0,0.05,100.0,,,61.75,2.13,1.83,Gulbarga Electricity Supply Company Limited (GESCOM),C,Yes
Gumla,Low,Very Low,Low,No Data,24.65,174.2,5.8,35.93,75.55,17.84,6465.0,0.46,37.0,31.0,95.0,77.87,1.56,1.38,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Guna,Low,Very High,High,Mitigation + GW Sustainability,53.65,188.1,47.2,69.81,61.36,64.96,1212.0,1.09,100.0,,135.0,70.01,1.84,1.8,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),B,Yes
Guntur,High,Moderate,Low,Adaptation,50.18,126.1,64.9,65.79,19.6,19.34,3466.0,0.89,91.0,9.0,,92.51,0.81,1.42,Southern Power Distribution Company of Andhra Pradesh Limited (APSPDCL),B-,Yes
Gurdaspur,Very Low,Low,Very High,GW Sustainability,81.25,197.1,95.3,54.84,90.64,141.99,1484.0,0.27,90.0,10.0,,,2.6,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Gurgaon,Very Low,High,Very High,Mitigation + GW Sustainability,97.77,179.5,99.4,74.65,77.39,214.0,535.0,0.12,100.0,,10.0,79.75,1.47,1.0,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL),A,Yes
Gwalior,Low,High,Moderate,Mitigation,46.66,133.7,59.7,67.74,34.65,31.42,1496.0,0.52,100.0,,135.0,78.7,1.38,3.46,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),B,Yes
Hailakandi,Very High,Moderate,Low,Adaptation,34.89,150.1,0.2,35.53,16.94,2.55,4850.0,31.76,1.0,99.0,465.0,89.76,1.0,2.02,Assam Power Distribution Company Limited (APDCL),B-,No
Hamirpur,Low,Very Low,Low,No Data,29.16,197.2,4.6,42.73,14.89,75.5,13209.0,0.05,99.0,,30.0,88.31,1.05,6.41,Himachal Pradesh State Electricity Board Limited (HPSEBL),C,No
Hamirpur-UP,Low,Moderate,Low,No Data,29.16,136.1,,71.3,61.47,68.07,1435.0,0.12,5.0,95.0,,72.41,1.69,2.6,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Hanumangarh,Moderate,Low,Moderate,No Data,85.92,153.7,64.2,79.12,6.98,61.08,,,41.0,59.0,167.0,29.03,4.45,2.06,Jodhpur Vidyut Vitran Nigam Limited (JDVVNL),B-,No
Haora,Very High,High,Low,Adaptation + Mitigation,57.67,172.6,32.2,45.48,17.28,21.55,37301.0,7.51,3.0,97.0,460.0,99.73,0.46,1.66,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
Hapur,Very Low,Very High,Very High,Mitigation + GW Sustainability,76.0,163.4,100.0,76.06,78.99,98.0,763.0,0.37,60.0,40.0,,91.54,0.82,1.89,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),B,Yes
Harda,Moderate,High,Moderate,Mitigation,58.48,197.3,49.6,73.46,54.15,35.65,44.0,0.01,36.0,57.0,135.0,48.37,3.05,2.13,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),B,Yes
Hardoi,Low,Very High,Moderate,Mitigation,70.0,160.3,81.9,76.46,67.73,61.99,4357.0,0.37,41.0,59.0,,94.88,0.67,1.65,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),C-,Yes
Hardwar,Very Low,Very High,Moderate,Mitigation,46.5,140.7,95.5,64.81,81.15,65.4,1065.0,0.25,,,285.0,89.32,0.86,1.03,Uttarakhand Power Corporation Limited (UPCL),B-,Yes
Hassan,Very High,Low,High,Adaptation + GW Sustainability,62.89,121.9,15.3,47.07,49.76,71.35,5491.0,7.76,97.0,3.0,,92.12,0.84,1.24,Chamundeshwari Electricity Supply Corporation Limited (CHESCOM),B,Yes
Hathras,Very Low,Very High,High,Mitigation + GW Sustainability,82.91,171.1,87.5,67.73,78.3,93.83,1711.0,0.43,1.0,99.0,,88.91,0.9,1.9,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Haveri,Low,Moderate,Very High,GW Sustainability,77.6,115.8,28.0,62.22,57.16,60.99,1449.0,0.39,100.0,,,76.04,1.59,1.46,Hubli Electricity Supply Company Limited (HESCOM),C,Yes
Hazaribagh,High,High,Very Low,Adaptation + Mitigation,9.31,120.2,24.6,47.09,71.26,36.81,4725.0,30.27,3.0,93.0,95.0,91.78,0.76,1.0,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Hingoli,High,Very High,Moderate,Adaptation + Mitigation,78.85,131.5,40.7,64.78,91.22,36.41,1657.0,1.56,74.0,26.0,155.0,76.43,1.53,1.51,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Hisar,Very Low,High,High,Mitigation + GW Sustainability,82.89,193.0,90.4,81.85,30.53,88.17,1086.0,,62.0,38.0,10.0,60.48,2.58,1.0,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL),A,Yes
Hoshangabad,Low,High,Moderate,Mitigation,49.16,215.6,72.5,76.35,46.42,25.86,1008.0,0.19,97.0,3.0,135.0,69.19,1.88,1.77,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),B,Yes
Hoshiarpur,Very Low,Low,Very High,GW Sustainability,59.8,165.4,93.7,56.7,95.49,117.58,1265.0,0.18,99.0,1.0,,,2.79,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Hugli,Moderate,Very High,High,Mitigation + GW Sustainability,67.3,225.8,24.7,43.41,61.15,53.74,26894.0,2.98,85.0,15.0,460.0,98.15,0.61,4.38,,,No data
Hyderabad,No Data,No Data,No Data,No Data,,,,,93.42,93.62,94.0,0.21,,,,,,,Southern Power Distribution Company of Telangana Limited (TSSPDCL),C,No
Idukki,High,Very Low,Low,Adaptation,46.9,129.5,17.8,47.51,40.39,54.21,3792.0,1.84,99.0,1.0,195.0,97.44,0.4,1.13,Kerala State Electricity Board Limited (KSEBL),B-,No
